,Index_dtools,Manufacturer[0],Model[0],Part_dtools,Cost_dtools,Price_dtools,Used_dtools,Match Ratio,Index[1],Manufacturer[1],Model[1],Part[1],Cost[1],Price[1],Used[1],Match,Keep,Model_dtools
14,450,CHIEF,,TA501,147.42,273.0,False,100.0,2700,CHIEF,TA501,,147.42,295.0,False,False,True,TA501
12,448,CHIEF,,SLB364,82.62,153.0,False,100.0,2406,CHIEF,SLB364,,82.62,177.0,False,False,True,SLB364
16,452,CHIEF,,TPK1,24.3,45.0,False,100.0,2722,CHIEF,TPK1,,24.3,58.0,False,False,True,TPK1
23,459,CHIEF,,TS525TU,305.64,566.0,False,100.0,2739,CHIEF,TS525TU,,305.64,625.0,False,False,True,TS525TU
28,464,CHIEF,,XCM1U,305.64,566.0,False,100.0,2825,CHIEF,XCM1U,,305.64,681.0,False,False,True,XCM1U
27,463,CHIEF,,WMA2S,113.4,210.0,False,100.0,2811,CHIEF,WMA2S,,113.4,236.0,False,False,True,WMA2S
17,453,CHIEF,,TPMUB,201.42,373.0,False,100.0,2728,CHIEF,TPMUB,,201.42,427.0,False,False,True,TPMUB
25,461,CHIEF,,VCMU,258.12,478.0,False,100.0,2782,CHIEF,VCMU,,258.12,537.0,False,False,True,VCMU
24,460,CHIEF,,VCM103S,258.12,478.0,False,100.0,2752,CHIEF,VCM103S,,258.12,537.0,False,False,True,VCM103S
26,462,CHIEF,,VCTUB,323.46,599.0,False,100.0,2786,CHIEF,VCTUB,,323.46,659.0,False,False,True,VCTUB
22,458,CHIEF,,TS325TU,244.08,452.0,False,100.0,2738,CHIEF,TS325TU,,244.08,494.0,False,False,True,TS325TU
21,457,CHIEF,,TS318TU,213.84,396.0,False,100.0,2737,CHIEF,TS318TU,,213.84,449.0,False,False,True,TS318TU
20,456,CHIEF,,TS318SU,183.06,339.0,False,100.0,2736,CHIEF,TS318SU,,183.06,405.0,False,False,True,TS318SU
19,455,CHIEF,,TS218SU,140.4,260.0,False,100.0,2735,CHIEF,TS218SU,,140.4,284.0,False,False,True,TS218SU
18,454,CHIEF,,TS118SU,78.3,145.0,False,100.0,2734,CHIEF,TS118SU,,78.3,170.0,False,False,True,TS118SU
62,3531,SANUS,,CFR2115,259.25,549.99,False,88.0,2893,Sanus,CFR2115-B1,,283.65,599.99,False,False,True,CFR2115
63,3532,SANUS,,WSSBM1,25.5,59.0,False,78.0,2995,Sanus,WSWMU1-B2,,14.28,39.99,False,False,True,WSSBM1-B2
65,3534,SANUS,,WSWM1-B1,16.97,39.99,False,78.0,2995,Sanus,WSWMU1-B2,,14.28,39.99,False,False,True,WSWM21-B1
67,3536,SANUS,,WSWM2-B1,25.45,59.99,False,78.0,2996,Sanus,WSWMU2-B2,,23.92,59.99,False,False,True,WSWM22-B1
61,439,CHIEF,,PDRU-X,451.44,836.0,False,75.33333333333333,1318,CHIEF,PDRUB,,478.44,967.0,False,False,True,PDRU-X
66,3535,SANUS,,WSWM1-W1,16.97,39.99,False,73.66666666666667,2990,Sanus,WSS1-W1,,28.83,69.99,False,False,True,WSWM21-W1
64,3533,SANUS,,WSTV1,61.2,149.99,False,69.66666666666667,2686,CHIEF,STS1,,52.2,97.0,False,False,True,WSTV1
68,3537,SANUS,,WSWM2-W1,25.45,59.99,False,67.0,2996,Sanus,WSWMU2-B2,,23.92,59.99,False,False,True,WSWM22-W1
